location_id,longitude,latitude
1,24.941583,60.170870
2,24.934201,60.169802
3,24.938493,60.166408
4,24.940467,60.167048
5,24.938793,60.167518
6,24.939866,60.166856
7,24.931755,60.168500
8,24.932313,60.168671
9,24.932828,60.168884
10,24.933643,60.169076
11,24.932914,60.167369
12,24.944329,60.172193
13,24.942355,60.170912
14,24.938064,60.169290
15,24.938064,60.169226
16,24.938450,60.169183
17,24.937763,60.169162
18,24.930210,60.163547
19,24.935575,60.165340
20,24.947119,60.170037
21,24.929609,60.166685
22,24.935832,60.163974
23,24.939222,60.165041
24,24.942055,60.163419
25,24.945445,60.163782
26,24.938021,60.172193
27,24.939866,60.168500
28,24.942141,60.168820
29,24.945273,60.167860
30,24.945059,60.168970
31,24.929781,60.169696
32,24.936132,60.167689
33,24.936261,60.167006
34,24.935832,60.161262
35,24.936862,60.161518
36,24.937892,60.161326
37,24.953427,60.174221
38,24.955959,60.171019
39,24.954028,60.169247
40,24.942613,60.160963
41,24.934630,60.158337
42,24.932570,60.158443
43,24.915490,60.163568
44,24.909053,60.163440
45,24.910254,60.163461
46,24.911284,60.163547
47,24.914246,60.163077
48,24.923987,60.172193
49,24.926391,60.170443
50,24.927120,60.169055
51,24.932270,60.171574
52,24.924374,60.168073
53,24.908774,60.159330
54,24.877295,60.160451
55,24.876823,60.159298
56,24.880643,60.160152
57,24.935961,60.199206
58,24.938107,60.199312
59,24.938450,60.198203
60,24.947548,60.193511
61,24.945831,60.194151
62,24.951754,60.192913
63,24.946346,60.185361
64,24.944115,60.184763
65,24.946260,60.184251
66,24.955444,60.179322
67,24.958277,60.179194
68,24.958277,60.178490
69,24.955959,60.178660
70,24.955573,60.180581
71,24.954500,60.181200
72,24.952912,60.180624
73,24.953470,60.185916
74,24.966130,60.186428
75,24.959650,60.186044
76,24.954457,60.182630
77,24.960937,60.180688
78,24.952397,60.171574
79,24.937420,60.168308
80,24.931412,60.170357
81,24.930468,60.161796
82,24.919910,60.163718
83,24.927034,60.179855
84,24.951153,60.159703
85,24.922485,60.156714
